TRACK_clean,ncaa_name,espn_name,dist,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3,conference,ncaa_name_TRUE
CSU Bakersfield,CSU Bakersfield,CSU Bakersfield,0,#005DAA,#FFD200,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Cal_State_Bakersfield_Roadrunners_logo.svg/320px-Cal_State_Bakersfield_Roadrunners_logo.svg.png,NA,Big West,CSU Bakersfield
CSUN,CSUN,CSU Northridge,0,#CE1126,#D1CEC6,#000000,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/CSUN_Matadors_logo.svg/188px-CSUN_Matadors_logo.svg.png,NA,Big West,CSUN
Dartmouth,Dartmouth,Dartmouth,0,#046A38,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Dartmouth_College_Big_Green_logo.svg/189px-Dartmouth_College_Big_Green_logo.svg.png,NA,Ivy,Dartmouth
Davidson,Davidson,Davidson,0,#AC1A2F,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Davidson_Wildcats_logo.svg/240px-Davidson_Wildcats_logo.svg.png,NA,A-10,Davidson
Dayton,Dayton,Dayton,0,#CE1141,#004B8D,#F80228,#0200D1,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dayton_Flyers_logo.svg/320px-Dayton_Flyers_logo.svg.png,NA,A-10,Dayton
Delaware,Delaware,Delaware,0,#00539F,#FFD200,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Delaware_Fightin%27_Blue_Hens_logo.svg/320px-Delaware_Fightin%27_Blue_Hens_logo.svg.png,NA,CAA,Delaware
Delaware State,Delaware St.,Delaware State,0.09920634920634919,#EE3124,#0099CC,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Delaware_State_Hornets_logo.svg/316px-Delaware_State_Hornets_logo.svg.png,NA,MEAC,Delaware State
DePaul,DePaul,DePaul,0,#005EB8,#E4002B,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/DePaul_Blue_Demons_logo.svg/309px-DePaul_Blue_Demons_logo.svg.png,NA,Big East,DePaul
Detroit,Detroit Mercy,Detroit Mercy,0.15384615384615397,#A6093D,#002D72,#D7D2CB,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Detroit_Titans_logo.svg/320px-Detroit_Titans_logo.svg.png,NA,Horizon,Detroit
Detroit Mercy,Detroit Mercy,Detroit Mercy,0,#A6093D,#002D72,#D7D2CB,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Detroit_Titans_logo.svg/320px-Detroit_Titans_logo.svg.png,NA,Horizon,Detroit Mercy
Drake,Drake,Drake,0,#004477,#999999,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Drake_Bulldogs_%22D%22_logo.svg/261px-Drake_Bulldogs_%22D%22_logo.svg.png,NA,MVC,Drake
Duke,Duke,Duke,0,#001A57,#FFFFFF,#003366,#0736A4,#235F9C,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Duke_Athletics_logo.svg/200px-Duke_Athletics_logo.svg.png,NA,ACC,Duke
Duquesne,Duquesne,Duquesne,0,#041E42,#BA0C2F,#000000,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Duquesne_Dukes.svg/115px-Duquesne_Dukes.svg.png,NA,A-10,Duquesne
East Carolina,East Carolina,ECU,0,#592A8A,#FDC82F,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/East_Carolina_Pirates_logo.svg/226px-East_Carolina_Pirates_logo.svg.png,NA,AAC,East Carolina
East Tenn. St.,ETSU,ETSU,0,#041E42,#FFC72C,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/East_Tennessee_State_Buccaneers_logo.svg/241px-East_Tennessee_State_Buccaneers_logo.svg.png,NA,Southern,ETSU
